nb,vertices,support
253,"[190166, 190624]",95
761,"[190162, 190166]",92
100,"[190624, 190629]",91
760,"[190166, 1059712]",91
375,"[190166, 190624, 190629]",91
875,"[190162, 190166, 190624]",91
684,"[190166, 190824]",90
928,"[190162, 190166, 190624, 190629]",90
296,"[190166, 190624, 190824]",90
1,"[190624, 271009]",90
309,"[190166, 190624, 1059712]",90
538,"[190162, 190624]",90
1002,"[190162, 190166, 1059712]",90
610,"[190162, 190624, 190166]",90
310,"[190166, 190624, 271009]",90
779,"[190162, 190166, 271009]",89
762,"[190162, 190166, 190624]",89
788,"[190162, 190166, 271009, 1059712]",89
39,"[190166, 246171]",89
876,"[190162, 190166, 190624]",89
404,"[190166, 190624, 190629, 271009]",89
489,"[190166, 190624, 190824]",89
732,"[190166, 190824, 190624, 1059712]",89
494,"[190166, 190624, 190824, 1059712]",89
101,"[190624, 190629, 271009]",89
32,"[190629, 246171]",89
31,"[190629, 254723]",89
905,"[190162, 190166, 190624, 190824]",89
308,"[190166, 190624, 190824, 1059712]",89
910,"[190162, 190166, 190624, 1059712]",89
515,"[190166, 190624, 190824, 1059712]",89
3,"[190166, 271009]",89
6,"[190166, 271009, 1059712]",89
242,"[190624, 190824]",89
258,"[190166, 190624, 246171]",89
969,"[190162, 190166, 190824]",89
695,"[190166, 190824, 246171]",89
719,"[190166, 190824, 1059712]",89
300,"[190166, 190624, 190824, 246171]",89
720,"[190166, 190824, 190624]",89
488,"[190166, 190624, 190824]",89
507,"[190166, 190624, 190824, 190629]",88
511,"[190166, 190624, 190824, 190629, 1059712]",88
469,"[190166, 190624, 191040, 271009]",88
492,"[190166, 190624, 190824, 190629]",88
491,"[190166, 190624, 190824, 246171]",88
559,"[190162, 190624, 190629]",88
501,"[190166, 190624, 190824, 246171]",88
591,"[190162, 190624, 190824]",88
601,"[190162, 190624, 190824, 190166]",88
607,"[190162, 190624, 190824, 190166, 190629]",88
609,"[190162, 190624, 190824, 190166, 1059712]",88
389,"[190166, 190624, 190629, 246171]",88
445,"[190166, 190624, 191040]",88
294,"[190166, 190624, 257527]",88
170,"[190166, 190629, 190824, 190624]",88
174,"[190166, 190629, 190824, 190624, 1059712]",88
178,"[190166, 190629, 1059712]",88
235,"[190624, 191040]",88
236,"[190624, 191040, 271009]",88
254,"[190166, 190624, 271009]",88
257,"[190166, 190624, 271009, 1059712]",88
264,"[190166, 190624, 246171, 1059712]",88
271,"[190166, 190624, 190629]",88
282,"[190166, 190624, 190629, 190824]",88
286,"[190166, 190624, 190629, 190824, 1059712]",88
287,"[190166, 190624, 190629, 1059712]",88
303,"[190166, 190624, 190824, 246171, 1059712]",88
438,"[190166, 190624, 190629, 254723]",88
317,"[190166, 190624, 271009, 246171]",88
328,"[190166, 190624, 271009, 257527]",88
330,"[190166, 190624, 271009, 190824]",88
331,"[190166, 190624, 271009, 190824, 246171]",88
386,"[190166, 190624, 190629, 271009]",88
388,"[190166, 190624, 190629, 271009, 1059712]",88
623,"[190162, 190624, 190166, 190824]",88
398,"[190166, 190624, 190629, 190824]",88
400,"[190166, 190624, 190629, 190824, 246171]",88
403,"[190166, 190624, 190629, 1059712]",88
406,"[190166, 190624, 190629, 271009, 246171]",88
410,"[190166, 190624, 190629, 271009, 190824]",88
615,"[190162, 190624, 190166, 190629]",88
504,"[190166, 190624, 190824, 246171, 1059712]",88
645,"[190162, 190624, 190166, 190629]",88
650,"[190162, 190624, 190166, 190629, 190824]",88
890,"[190162, 190166, 190624, 271009, 1059712]",88
891,"[190162, 190166, 190624, 246171]",88
896,"[190162, 190166, 190624, 190629]",88
900,"[190162, 190166, 190624, 190629, 190824]",88
901,"[190162, 190166, 190624, 190629, 1059712]",88
907,"[190162, 190166, 190624, 190824, 246171]",88
909,"[190162, 190166, 190624, 190824, 1059712]",88
911,"[190162, 190166, 190624, 271009]",88
