id,nom,latitude,longitude,typeR,nb,support
190624,Parc Güell,41.41451,2.152709,A,253,95
190166,Sagrada Família,41.403423,2.174611,A,253,95
190166,Sagrada Família,41.403423,2.174611,A,761,92
190162,Quartier gothique,41.3827,2.177113,A,761,92
190629,Casa Milà,41.395325,2.161925,A,100,91
190624,Parc Güell,41.41451,2.152709,A,100,91
1059712,Ciudad Condal,41.38874,2.166787,R,760,91
190166,Sagrada Família,41.403423,2.174611,A,760,91
190629,Casa Milà,41.395325,2.161925,A,375,91
190624,Parc Güell,41.41451,2.152709,A,375,91
190166,Sagrada Família,41.403423,2.174611,A,375,91
190624,Parc Güell,41.41451,2.152709,A,875,91
190166,Sagrada Família,41.403423,2.174611,A,875,91
190162,Quartier gothique,41.3827,2.177113,A,875,91
190824,Palau de la Música Catalana,41.387573,2.175302,A,684,90
190166,Sagrada Família,41.403423,2.174611,A,684,90
190629,Casa Milà,41.395325,2.161925,A,928,90
190624,Parc Güell,41.41451,2.152709,A,928,90
190166,Sagrada Família,41.403423,2.174611,A,928,90
190162,Quartier gothique,41.3827,2.177113,A,928,90
190624,Parc Güell,41.41451,2.152709,A,296,90
190824,Palau de la Música Catalana,41.387573,2.175302,A,296,90
190166,Sagrada Família,41.403423,2.174611,A,296,90
271009,Camp Nou,41.380924,2.122952,A,1,90
190624,Parc Güell,41.41451,2.152709,A,1,90
190624,Parc Güell,41.41451,2.152709,A,309,90
1059712,Ciudad Condal,41.38874,2.166787,R,309,90
190166,Sagrada Família,41.403423,2.174611,A,309,90
190624,Parc Güell,41.41451,2.152709,A,538,90
190162,Quartier gothique,41.3827,2.177113,A,538,90
1059712,Ciudad Condal,41.38874,2.166787,R,1002,90
190166,Sagrada Família,41.403423,2.174611,A,1002,90
190162,Quartier gothique,41.3827,2.177113,A,1002,90
190624,Parc Güell,41.41451,2.152709,A,610,90
190166,Sagrada Família,41.403423,2.174611,A,610,90
190162,Quartier gothique,41.3827,2.177113,A,610,90
271009,Camp Nou,41.380924,2.122952,A,310,90
190624,Parc Güell,41.41451,2.152709,A,310,90
190166,Sagrada Família,41.403423,2.174611,A,310,90
271009,Camp Nou,41.380924,2.122952,A,779,89
190166,Sagrada Família,41.403423,2.174611,A,779,89
190162,Quartier gothique,41.3827,2.177113,A,779,89
190624,Parc Güell,41.41451,2.152709,A,762,89
190166,Sagrada Família,41.403423,2.174611,A,762,89
190162,Quartier gothique,41.3827,2.177113,A,762,89
271009,Camp Nou,41.380924,2.122952,A,788,89
1059712,Ciudad Condal,41.38874,2.166787,R,788,89
190166,Sagrada Família,41.403423,2.174611,A,788,89
190162,Quartier gothique,41.3827,2.177113,A,788,89
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,39,89
190166,Sagrada Família,41.403423,2.174611,A,39,89
190624,Parc Güell,41.41451,2.152709,A,876,89
190166,Sagrada Família,41.403423,2.174611,A,876,89
190162,Quartier gothique,41.3827,2.177113,A,876,89
271009,Camp Nou,41.380924,2.122952,A,404,89
190629,Casa Milà,41.395325,2.161925,A,404,89
190624,Parc Güell,41.41451,2.152709,A,404,89
190166,Sagrada Família,41.403423,2.174611,A,404,89
190624,Parc Güell,41.41451,2.152709,A,489,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,489,89
190166,Sagrada Família,41.403423,2.174611,A,489,89
190624,Parc Güell,41.41451,2.152709,A,732,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,732,89
1059712,Ciudad Condal,41.38874,2.166787,R,732,89
190166,Sagrada Família,41.403423,2.174611,A,732,89
190624,Parc Güell,41.41451,2.152709,A,494,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,494,89
1059712,Ciudad Condal,41.38874,2.166787,R,494,89
190166,Sagrada Família,41.403423,2.174611,A,494,89
271009,Camp Nou,41.380924,2.122952,A,101,89
190629,Casa Milà,41.395325,2.161925,A,101,89
190624,Parc Güell,41.41451,2.152709,A,101,89
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,32,89
190629,Casa Milà,41.395325,2.161925,A,32,89
254723,Passeig de Gràcia,41.39493,2.16177,A,31,89
190629,Casa Milà,41.395325,2.161925,A,31,89
190624,Parc Güell,41.41451,2.152709,A,905,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,905,89
190166,Sagrada Família,41.403423,2.174611,A,905,89
190162,Quartier gothique,41.3827,2.177113,A,905,89
190624,Parc Güell,41.41451,2.152709,A,308,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,308,89
1059712,Ciudad Condal,41.38874,2.166787,R,308,89
190166,Sagrada Família,41.403423,2.174611,A,308,89
190624,Parc Güell,41.41451,2.152709,A,910,89
1059712,Ciudad Condal,41.38874,2.166787,R,910,89
190166,Sagrada Família,41.403423,2.174611,A,910,89
190162,Quartier gothique,41.3827,2.177113,A,910,89
190624,Parc Güell,41.41451,2.152709,A,515,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,515,89
1059712,Ciudad Condal,41.38874,2.166787,R,515,89
190166,Sagrada Família,41.403423,2.174611,A,515,89
271009,Camp Nou,41.380924,2.122952,A,3,89
190166,Sagrada Família,41.403423,2.174611,A,3,89
271009,Camp Nou,41.380924,2.122952,A,6,89
1059712,Ciudad Condal,41.38874,2.166787,R,6,89
190166,Sagrada Família,41.403423,2.174611,A,6,89
190624,Parc Güell,41.41451,2.152709,A,242,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,242,89
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,258,89
190624,Parc Güell,41.41451,2.152709,A,258,89
190166,Sagrada Família,41.403423,2.174611,A,258,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,969,89
190166,Sagrada Família,41.403423,2.174611,A,969,89
190162,Quartier gothique,41.3827,2.177113,A,969,89
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,695,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,695,89
190166,Sagrada Família,41.403423,2.174611,A,695,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,719,89
1059712,Ciudad Condal,41.38874,2.166787,R,719,89
190166,Sagrada Família,41.403423,2.174611,A,719,89
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,300,89
190624,Parc Güell,41.41451,2.152709,A,300,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,300,89
190166,Sagrada Família,41.403423,2.174611,A,300,89
190624,Parc Güell,41.41451,2.152709,A,720,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,720,89
190166,Sagrada Família,41.403423,2.174611,A,720,89
190624,Parc Güell,41.41451,2.152709,A,488,89
190824,Palau de la Música Catalana,41.387573,2.175302,A,488,89
190166,Sagrada Família,41.403423,2.174611,A,488,89
190629,Casa Milà,41.395325,2.161925,A,507,88
190624,Parc Güell,41.41451,2.152709,A,507,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,507,88
190166,Sagrada Família,41.403423,2.174611,A,507,88
190629,Casa Milà,41.395325,2.161925,A,511,88
190624,Parc Güell,41.41451,2.152709,A,511,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,511,88
1059712,Ciudad Condal,41.38874,2.166787,R,511,88
190166,Sagrada Família,41.403423,2.174611,A,511,88
271009,Camp Nou,41.380924,2.122952,A,469,88
191040,Abadia de Montserrat,41.591694,1.834824,A,469,88
190624,Parc Güell,41.41451,2.152709,A,469,88
190166,Sagrada Família,41.403423,2.174611,A,469,88
190629,Casa Milà,41.395325,2.161925,A,492,88
190624,Parc Güell,41.41451,2.152709,A,492,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,492,88
190166,Sagrada Família,41.403423,2.174611,A,492,88
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,491,88
190624,Parc Güell,41.41451,2.152709,A,491,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,491,88
190166,Sagrada Família,41.403423,2.174611,A,491,88
190629,Casa Milà,41.395325,2.161925,A,559,88
190624,Parc Güell,41.41451,2.152709,A,559,88
190162,Quartier gothique,41.3827,2.177113,A,559,88
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,501,88
190624,Parc Güell,41.41451,2.152709,A,501,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,501,88
190166,Sagrada Família,41.403423,2.174611,A,501,88
190624,Parc Güell,41.41451,2.152709,A,591,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,591,88
190162,Quartier gothique,41.3827,2.177113,A,591,88
190624,Parc Güell,41.41451,2.152709,A,601,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,601,88
190166,Sagrada Família,41.403423,2.174611,A,601,88
190162,Quartier gothique,41.3827,2.177113,A,601,88
190629,Casa Milà,41.395325,2.161925,A,607,88
190624,Parc Güell,41.41451,2.152709,A,607,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,607,88
190166,Sagrada Família,41.403423,2.174611,A,607,88
190162,Quartier gothique,41.3827,2.177113,A,607,88
190624,Parc Güell,41.41451,2.152709,A,609,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,609,88
1059712,Ciudad Condal,41.38874,2.166787,R,609,88
190166,Sagrada Família,41.403423,2.174611,A,609,88
190162,Quartier gothique,41.3827,2.177113,A,609,88
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,389,88
190629,Casa Milà,41.395325,2.161925,A,389,88
190624,Parc Güell,41.41451,2.152709,A,389,88
190166,Sagrada Família,41.403423,2.174611,A,389,88
191040,Abadia de Montserrat,41.591694,1.834824,A,445,88
190624,Parc Güell,41.41451,2.152709,A,445,88
190166,Sagrada Família,41.403423,2.174611,A,445,88
190624,Parc Güell,41.41451,2.152709,A,294,88
257527,Musée national d’art de Catalogne,41.368454,2.153715,A,294,88
190166,Sagrada Família,41.403423,2.174611,A,294,88
190629,Casa Milà,41.395325,2.161925,A,170,88
190624,Parc Güell,41.41451,2.152709,A,170,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,170,88
190166,Sagrada Família,41.403423,2.174611,A,170,88
190629,Casa Milà,41.395325,2.161925,A,174,88
190624,Parc Güell,41.41451,2.152709,A,174,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,174,88
1059712,Ciudad Condal,41.38874,2.166787,R,174,88
190166,Sagrada Família,41.403423,2.174611,A,174,88
190629,Casa Milà,41.395325,2.161925,A,178,88
1059712,Ciudad Condal,41.38874,2.166787,R,178,88
190166,Sagrada Família,41.403423,2.174611,A,178,88
191040,Abadia de Montserrat,41.591694,1.834824,A,235,88
190624,Parc Güell,41.41451,2.152709,A,235,88
271009,Camp Nou,41.380924,2.122952,A,236,88
191040,Abadia de Montserrat,41.591694,1.834824,A,236,88
190624,Parc Güell,41.41451,2.152709,A,236,88
271009,Camp Nou,41.380924,2.122952,A,254,88
190624,Parc Güell,41.41451,2.152709,A,254,88
190166,Sagrada Família,41.403423,2.174611,A,254,88
271009,Camp Nou,41.380924,2.122952,A,257,88
190624,Parc Güell,41.41451,2.152709,A,257,88
1059712,Ciudad Condal,41.38874,2.166787,R,257,88
190166,Sagrada Família,41.403423,2.174611,A,257,88
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,264,88
190624,Parc Güell,41.41451,2.152709,A,264,88
1059712,Ciudad Condal,41.38874,2.166787,R,264,88
190166,Sagrada Família,41.403423,2.174611,A,264,88
190629,Casa Milà,41.395325,2.161925,A,271,88
190624,Parc Güell,41.41451,2.152709,A,271,88
190166,Sagrada Família,41.403423,2.174611,A,271,88
190629,Casa Milà,41.395325,2.161925,A,282,88
190624,Parc Güell,41.41451,2.152709,A,282,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,282,88
190166,Sagrada Família,41.403423,2.174611,A,282,88
190629,Casa Milà,41.395325,2.161925,A,286,88
190624,Parc Güell,41.41451,2.152709,A,286,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,286,88
1059712,Ciudad Condal,41.38874,2.166787,R,286,88
190166,Sagrada Família,41.403423,2.174611,A,286,88
190629,Casa Milà,41.395325,2.161925,A,287,88
190624,Parc Güell,41.41451,2.152709,A,287,88
1059712,Ciudad Condal,41.38874,2.166787,R,287,88
190166,Sagrada Família,41.403423,2.174611,A,287,88
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,303,88
190624,Parc Güell,41.41451,2.152709,A,303,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,303,88
1059712,Ciudad Condal,41.38874,2.166787,R,303,88
190166,Sagrada Família,41.403423,2.174611,A,303,88
254723,Passeig de Gràcia,41.39493,2.16177,A,438,88
190629,Casa Milà,41.395325,2.161925,A,438,88
190624,Parc Güell,41.41451,2.152709,A,438,88
190166,Sagrada Família,41.403423,2.174611,A,438,88
271009,Camp Nou,41.380924,2.122952,A,317,88
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,317,88
190624,Parc Güell,41.41451,2.152709,A,317,88
190166,Sagrada Família,41.403423,2.174611,A,317,88
271009,Camp Nou,41.380924,2.122952,A,328,88
190624,Parc Güell,41.41451,2.152709,A,328,88
257527,Musée national d’art de Catalogne,41.368454,2.153715,A,328,88
190166,Sagrada Família,41.403423,2.174611,A,328,88
271009,Camp Nou,41.380924,2.122952,A,330,88
190624,Parc Güell,41.41451,2.152709,A,330,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,330,88
190166,Sagrada Família,41.403423,2.174611,A,330,88
271009,Camp Nou,41.380924,2.122952,A,331,88
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,331,88
190624,Parc Güell,41.41451,2.152709,A,331,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,331,88
190166,Sagrada Família,41.403423,2.174611,A,331,88
271009,Camp Nou,41.380924,2.122952,A,386,88
190629,Casa Milà,41.395325,2.161925,A,386,88
190624,Parc Güell,41.41451,2.152709,A,386,88
190166,Sagrada Família,41.403423,2.174611,A,386,88
271009,Camp Nou,41.380924,2.122952,A,388,88
190629,Casa Milà,41.395325,2.161925,A,388,88
190624,Parc Güell,41.41451,2.152709,A,388,88
1059712,Ciudad Condal,41.38874,2.166787,R,388,88
190166,Sagrada Família,41.403423,2.174611,A,388,88
190624,Parc Güell,41.41451,2.152709,A,623,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,623,88
190166,Sagrada Família,41.403423,2.174611,A,623,88
190162,Quartier gothique,41.3827,2.177113,A,623,88
190629,Casa Milà,41.395325,2.161925,A,398,88
190624,Parc Güell,41.41451,2.152709,A,398,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,398,88
190166,Sagrada Família,41.403423,2.174611,A,398,88
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,400,88
190629,Casa Milà,41.395325,2.161925,A,400,88
190624,Parc Güell,41.41451,2.152709,A,400,88
190824,Palau de la Música Catalana,41.387573,2.175302,A,400,88
190166,Sagrada Família,41.403423,2.174611,A,400,88
190629,Casa Milà,41.395325,2.161925,A,403,88
190624,Parc Güell,41.41451,2.152709,A,403,88
1059712,Ciudad Condal,41.38874,2.166787,R,403,88
190166,Sagrada Família,41.403423,2.174611,A,403,88
271009,Camp Nou,41.380924,2.122952,A,406,88
246171,Église Sainte-Marie-de-la-Mer,41.38349,2.18178,A,406,88
190629,Casa Milà,41.395325,2.161925,A,406,88
190624,Parc Güell,41.41451,2.152709,A,406,88
190166,Sagrada Família,41.403423,2.174611,A,406,88
