nb,vertices,support
0,"[269814, 269817]",85
563,"[269817, 269820]",72
113,"[269814, 269817, 269820]",71
334,"[269814, 269820]",70
1,"[269814, 269817, 269820]",66
357,"[269814, 269820, 269817]",58
114,"[269814, 269817, 269820]",57
511,"[269814, 793722]",47
78,"[269814, 269817, 793722]",46
637,"[269820, 793722]",45
693,"[247498, 269814]",41
972,"[269817, 793722]",41
1282,"[209260, 269814]",40
566,"[269817, 269820, 793722]",40
263,"[269814, 269817, 793722]",40
163,"[269814, 269817, 269820, 793722]",39
703,"[247498, 269814, 269817]",39
140,"[269814, 269817, 269820, 793722]",39
817,"[247498, 269820]",39
1297,"[209260, 269814, 269817]",38
435,"[269814, 269820, 793722]",38
987,"[793722, 1381296]",38
669,"[793722, 801094]",37
754,"[247498, 269814, 269820]",37
337,"[269814, 269820, 793722]",37
1185,"[793722, 938725]",37
4,"[269814, 269817, 269820, 793722]",36
20,"[269814, 269817, 269820, 793722]",36
710,"[247498, 269814, 269817, 269820]",35
688,"[1740729, 1775539]",35
727,"[247498, 269814, 269817, 269820]",35
1312,"[209260, 269814, 269817, 269820]",35
1357,"[209260, 269814, 269820]",34
896,"[269820, 734546]",33
818,"[247498, 269820, 269817]",33
371,"[269814, 269820, 269817, 793722]",33
759,"[247498, 269814, 269820, 269817]",32
1459,"[5584607, 13387436]",32
120,"[269814, 269817, 269820, 793722]",32
1298,"[209260, 269814, 269817, 269820]",32
827,"[247498, 269820, 269817, 269814]",32
851,"[247498, 269820, 269814]",32
716,"[247498, 269814, 269817, 269820]",32
116,"[269814, 269817, 269820, 793722]",32
359,"[269814, 269820, 269817, 793722]",32
1005,"[196912, 269814]",31
600,"[269817, 269820, 734546]",31
227,"[269814, 269817, 269820, 793722]",31
200,"[269814, 269817, 269820, 734546]",31
619,"[269817, 269820, 793722]",31
1360,"[209260, 269814, 269820, 269817]",30
50,"[269814, 269817, 269820, 734546]",30
1003,"[1381296, 4242962]",30
862,"[247498, 269820, 269814, 269817]",30
475,"[269814, 269820, 734546]",30
274,"[269814, 269817, 793722, 269820]",30
948,"[1740729, 3347481]",29
1006,"[196912, 269814, 269817]",29
1313,"[209260, 269814, 269817, 269820]",29
1495,"[6208344, 6847194]",29
634,"[269817, 734546]",29
852,"[247498, 269820, 269814, 269817]",29
126,"[269814, 269817, 269820, 734546]",28
665,"[269820, 2558192]",28
251,"[269814, 269817, 734546]",28
863,"[247498, 269820, 269814, 269817]",28
969,"[2273093, 2558192]",28
403,"[269814, 269820, 269817, 734546]",28
941,"[1026189, 1381296]",28
556,"[269814, 801094]",27
107,"[269814, 269817, 801094]",27
1212,"[196917, 269814]",27
1035,"[196912, 269814, 269820]",27
1197,"[1381296, 2530949]",27
1013,"[196912, 269814, 269817, 269820]",27
914,"[2035312, 2273093]",27
662,"[269820, 2273093]",27
1239,"[196917, 269814, 269817]",26
642,"[269820, 793722, 801094]",26
1121,"[196916, 269814, 269817]",26
1007,"[196912, 269814, 269817, 269820]",26
1111,"[196916, 269814]",26
418,"[269814, 269820, 269817, 793722]",25
1405,"[209260, 269814, 793722]",25
134,"[269814, 269817, 269820, 793722]",25
1333,"[209260, 269814, 269817, 793722]",25
1428,"[2530949, 4242962]",25
794,"[247498, 269814, 793722]",25
1150,"[196916, 269814, 269820]",25
193,"[269814, 269817, 269820, 2273093]",25
530,"[269814, 793722, 269817]",25
1122,"[196916, 269814, 269817, 269820]",25
1457,"[4408913, 5584607]",25
266,"[269814, 269817, 793722]",25
1448,"[793722, 1026189]",25
595,"[269817, 269820, 2273093]",25
547,"[269814, 793722, 1381296]",24
1014,"[196912, 269814, 269817, 269820]",24
696,"[247498, 269814, 269820]",24
1264,"[196917, 269814, 269820]",24
678,"[793722, 810939]",24
171,"[269814, 269817, 269820, 793722, 801094]",24
740,"[247498, 269814, 269817, 793722]",24
1461,"[269814, 1381296]",24
472,"[269814, 269820, 2558192]",24
27,"[269814, 269817, 269820, 793722, 801094]",24
98,"[269814, 269817, 793722, 1381296]",24
572,"[269817, 269820, 793722, 801094]",24
446,"[269814, 269820, 793722, 801094]",24
155,"[269814, 269817, 269820, 801094]",24
1036,"[196912, 269814, 269820, 269817]",24
1240,"[196917, 269814, 269817, 269820]",23
955,"[628635, 793722]",23
977,"[269817, 793722, 938725]",23
599,"[269817, 269820, 2558192]",23
198,"[269814, 269817, 269820, 2558192]",23
286,"[269814, 269817, 793722, 938725]",23
1320,"[209260, 269814, 269817, 269820, 793722]",23
252,"[269814, 269817, 734546, 269820]",23
315,"[269814, 269817, 1381296]",23
909,"[793722, 2039935]",23
755,"[247498, 269814, 269820, 793722]",23
47,"[269814, 269817, 269820, 2558192]",23
707,"[247498, 269814, 269817, 269820]",23
1541,"[198290, 269814, 269817]",23
1622,"[8814343, 8817383]",23
1540,"[198290, 269814]",23
1377,"[209260, 269814, 269820, 793722]",23
1137,"[196916, 269814, 269817, 269820]",22
820,"[247498, 269820, 269817, 793722]",22
1247,"[196917, 269814, 269817, 269820]",22
160,"[269814, 269817, 269820, 734546]",22
81,"[269814, 269817, 793722, 269820]",22
843,"[247498, 269820, 793722]",22
469,"[269814, 269820, 2273093]",22
1206,"[793722, 1322553]",22
514,"[269814, 793722, 269820]",22
1303,"[209260, 269814, 269817, 269820, 793722]",22
1475,"[269817, 1381296]",22
378,"[269814, 269820, 269817, 793722, 801094]",22
728,"[247498, 269814, 269817, 269820, 793722]",22
564,"[269817, 269820, 734546]",22
44,"[269814, 269817, 269820, 2273093]",22
968,"[1381296, 2291108]",21
1105,"[269814, 734546]",21
1453,"[1324334, 1381296]",21
775,"[247498, 269814, 269820]",21
320,"[269814, 269817, 1381296]",21
1317,"[209260, 269814, 269817, 269820, 793722]",21
656,"[269820, 793722, 1381296]",21
305,"[269814, 269817, 734546]",21
93,"[269814, 269817, 793722, 938725]",21
1305,"[209260, 269814, 269817, 269820, 793722]",21
717,"[247498, 269814, 269817, 269820, 793722]",21
966,"[269820, 2035312]",21
21,"[269814, 269817, 269820, 793722]",21
123,"[269814, 269817, 269820, 2273093]",21
124,"[269814, 269817, 269820, 2558192]",21
395,"[269814, 269820, 269817, 2558192]",21
392,"[269814, 269820, 269817, 2273093]",21
1213,"[196917, 269814, 209260]",21
541,"[269814, 793722, 938725]",21
947,"[1381296, 2039935]",21
17,"[269814, 269817, 269820, 801094]",21
1387,"[209260, 269814, 269820, 793722]",21
436,"[269814, 269820, 793722]",21
1138,"[196916, 269814, 269817, 269820]",21
1345,"[209260, 269814, 269817, 793722]",21
829,"[247498, 269820, 269817, 269814, 793722]",21
960,"[1381296, 1740729]",21
1154,"[196916, 269814, 269820, 269817]",21
354,"[269814, 269820, 801094]",21
1266,"[196917, 269814, 269820, 269817]",20
1508,"[196918, 269814]",20
1512,"[196918, 269814, 269817]",20
562,"[269814, 2273093]",20
1248,"[196917, 269814, 269817, 269820]",20
225,"[269814, 269817, 269820, 1381296]",20
1223,"[196917, 269814, 209260, 269820]",20
523,"[269814, 793722, 801094]",20
1211,"[2272480, 2558192]",20
667,"[734546, 793722]",20
1204,"[269820, 1381296]",20
1283,"[209260, 269814, 247498]",20
910,"[793722, 3536508]",20
1284,"[209260, 269814, 247498, 269817]",20
760,"[247498, 269814, 269820, 269817, 793722]",20
119,"[269814, 269817, 269820, 734546]",20
1364,"[209260, 269814, 269820, 269817, 793722]",20
950,"[2558192, 13387436]",20
1395,"[209260, 269814, 269820, 247498]",20
1397,"[209260, 269814, 269820, 247498, 269817]",20
150,"[269814, 269817, 269820, 793722, 1381296]",20
1325,"[209260, 269814, 269817, 269820, 247498]",20
86,"[269814, 269817, 793722, 801094]",20
1438,"[269814, 1026189]",20
462,"[269814, 269820, 793722, 1381296]",20
79,"[269814, 269817, 793722, 801094]",20
1218,"[196917, 269814, 209260, 269817]",20
512,"[269814, 793722, 801094]",20
1286,"[209260, 269814, 247498, 269817, 269820]",20
697,"[247498, 269814, 269820, 269817]",20
731,"[247498, 269814, 269817, 269820]",20
397,"[269814, 269820, 269817, 734546]",20
711,"[247498, 269814, 269817, 269820]",20
631,"[269817, 269820, 1381296]",19
231,"[269814, 269817, 269820, 793722, 938725]",19
933,"[269814, 2035312]",19
904,"[781110, 793722]",19
233,"[269814, 269817, 269820, 793722]",19
881,"[247498, 269820, 269814, 793722]",19
855,"[247498, 269820, 269814, 269817, 793722]",19
1085,"[196912, 269814, 209260]",19
622,"[269817, 269820, 793722, 938725]",19
245,"[269814, 269817, 269820, 1381296]",19
490,"[269814, 269820, 734546]",19
287,"[269814, 269817, 793722, 938725, 269820]",19
683,"[810939, 1026189]",19
963,"[1381296, 2509707]",19
651,"[269820, 793722, 938725]",19
350,"[269814, 269820, 793722, 1381296]",19
517,"[269814, 793722, 269820, 269817]",19
312,"[269814, 269817, 1026189]",19
660,"[269820, 795570]",19
536,"[269814, 793722, 269817, 269820]",19
343,"[269814, 269820, 793722, 269817]",19
267,"[269814, 269817, 793722, 269820]",19
666,"[300759, 801094]",19
261,"[269814, 269817, 2035312]",19
587,"[269817, 269820, 793722, 1381296]",19
112,"[269814, 269817, 2273093]",19
1547,"[198290, 269814, 269817, 269820]",19
1219,"[196917, 269814, 209260, 269817, 269820]",19
141,"[269814, 269817, 269820, 793722, 801094]",19
1446,"[2558192, 5584607]",19
1478,"[269820, 938725]",19
60,"[269814, 269817, 269820, 734546]",19
1324,"[209260, 269814, 269817, 269820, 793722]",19
1489,"[269814, 275111]",19
38,"[269814, 269817, 269820, 793722, 1381296]",19
164,"[269814, 269817, 269820, 793722]",19
1518,"[196918, 269814, 269817, 269820]",19
1289,"[209260, 269814, 247498, 269820, 269817]",19
1617,"[8564361, 13387436]",19
1285,"[209260, 269814, 247498, 269817, 269820]",19
1624,"[8758569, 8814343]",19
1288,"[209260, 269814, 247498, 269820]",19
1307,"[209260, 269814, 269817, 269820, 247498]",19
13,"[269814, 269817, 269820, 793722, 1381296]",19
1366,"[209260, 269814, 269820, 269817, 793722]",19
346,"[269814, 269820, 793722, 938725]",18
973,"[269817, 793722, 1381296]",18
153,"[269814, 269817, 269820, 793722, 938725]",18
117,"[269814, 269817, 269820, 801094]",18
326,"[269814, 269817, 275111]",18
1331,"[209260, 269814, 269817, 801094]",18
974,"[269817, 793722, 269820]",18
340,"[269814, 269820, 793722, 801094]",18
368,"[269814, 269820, 269817, 801094]",18
372,"[269814, 269820, 269817, 793722]",18
386,"[269814, 269820, 269817, 793722, 1381296]",18
917,"[196912, 269820]",18
912,"[1198856, 1381296]",18
184,"[269814, 269817, 269820, 793722, 1381296]",18
983,"[269817, 793722, 801094]",18
1443,"[938725, 1381296]",18
897,"[269820, 734546, 793722]",18
672,"[793722, 801094, 938725]",18
7,"[269814, 269817, 269820, 793722, 801094]",18
616,"[269817, 269820, 1381296]",18
10,"[269814, 269817, 269820, 793722, 938725]",18
1621,"[801094, 1381296]",18
1563,"[198290, 269814, 269820]",18
1558,"[198290, 269814, 269817, 793722]",18
661,"[269820, 812062]",18
1542,"[198290, 269814, 269817, 269820]",18
1524,"[196918, 269814, 269820]",18
1513,"[196918, 269814, 269817, 269820]",18
874,"[247498, 269820, 269814, 793722]",18
499,"[269814, 269820, 275111]",18
497,"[269814, 269820, 1381296]",18
494,"[269814, 269820, 1381296]",18
488,"[269814, 269820, 2035312]",18
777,"[247498, 269814, 269820, 269817]",18
784,"[247498, 269814, 269820, 793722]",18
1086,"[196912, 269814, 209260, 269820]",18
1403,"[209260, 269814, 801094]",18
868,"[247498, 269820, 269814, 269817, 793722]",18
295,"[269814, 269817, 793722, 801094]",18
1094,"[196912, 269814, 209260, 269817]",18
222,"[269814, 269817, 269820, 1026189]",18
264,"[269814, 269817, 793722, 1381296]",18
216,"[269814, 269817, 269820, 734546]",18
1220,"[196917, 269814, 209260, 269817, 269820]",18
202,"[269814, 269817, 269820, 734546, 793722]",17
735,"[247498, 269814, 269817, 269820, 793722]",17
255,"[269814, 269817, 734546, 793722]",17
496,"[269814, 269820, 1026189]",17
215,"[269814, 269817, 269820, 2035312]",17
159,"[269814, 269817, 269820, 2273093]",17
582,"[269817, 269820, 793722, 938725]",17
714,"[247498, 269814, 269817, 269820, 793722]",17
281,"[269814, 269817, 793722, 269820]",17
1501,"[793722, 795570]",17
49,"[269814, 269817, 269820, 2035312]",17
1519,"[196918, 269814, 269817, 269820]",17
509,"[269814, 628635]",17
745,"[247498, 269814, 269817, 793722]",17
1527,"[196918, 269814, 269820, 269817]",17
1335,"[209260, 269814, 269817, 793722, 1381296]",17
144,"[269814, 269817, 269820, 793722, 801094]",17
1347,"[209260, 269814, 269817, 793722, 269820]",17
67,"[269814, 269817, 269820, 1381296]",17
69,"[269814, 269817, 269820, 275111]",17
474,"[269814, 269820, 2035312]",17
76,"[269814, 269817, 628635]",17
946,"[1381296, 2035312]",17
211,"[269814, 269817, 269820, 2035312]",17
940,"[812062, 1124428]",17
454,"[269814, 269820, 793722, 938725]",17
1422,"[209260, 269814, 1381296]",17
1411,"[209260, 269814, 793722, 1381296]",17
867,"[247498, 269820, 269814, 269817, 793722]",17
1188,"[793722, 938725, 1381296]",17
59,"[269814, 269817, 269820, 2035312]",17
1062,"[196912, 269814, 247498]",17
1208,"[810939, 814600]",17
1064,"[196912, 269814, 247498, 269817, 269820]",17
300,"[269814, 269817, 793722, 801094]",17
1063,"[196912, 269814, 247498, 269817]",17
593,"[269817, 269820, 795570]",17
1631,"[11670679, 12442472]",17
1048,"[196912, 269814, 269820, 793722]",17
1068,"[196912, 269814, 247498, 269820, 269817]",17
602,"[269817, 269820, 734546, 793722]",17
614,"[269817, 269820, 2035312]",17
1224,"[196917, 269814, 209260, 269820, 269817]",17
1209,"[938725, 3536508]",17
1067,"[196912, 269814, 247498, 269820]",17
626,"[269817, 269820, 938725]",17
1019,"[196912, 269814, 269817, 269820, 793722]",17
1065,"[196912, 269814, 247498, 269817, 269820]",17
189,"[269814, 269817, 269820, 795570]",17
1095,"[196912, 269814, 209260, 269817, 269820]",17
636,"[269817, 734546, 793722]",17
240,"[269814, 269817, 269820, 938725]",17
220,"[269814, 269817, 269820, 1381296]",17
545,"[269814, 793722, 1026189]",17
1018,"[196912, 269814, 269817, 269820, 247498]",17
1011,"[196912, 269814, 269817, 269820, 793722]",17
423,"[269814, 269820, 269817, 793722, 938725]",16
413,"[269814, 269820, 269817, 734546]",16
807,"[247498, 269817, 269814]",16
594,"[269817, 269820, 812062]",16
1425,"[626951, 1393100]",16
876,"[247498, 269820, 269814, 793722, 269817]",16
819,"[247498, 269820, 269817, 734546]",16
873,"[247498, 269820, 269814, 269817, 793722]",16
834,"[247498, 269820, 269817, 269814, 793722]",16
828,"[247498, 269820, 269817, 269814, 734546]",16
836,"[247498, 269820, 269817, 269814, 793722]",16
415,"[269814, 269820, 269817, 1381296]",16
417,"[269814, 269820, 269817, 1381296]",16
839,"[247498, 269820, 269817, 793722]",16
842,"[247498, 269820, 734546]",16
1379,"[209260, 269814, 269820, 793722, 1381296]",16
425,"[269814, 269820, 269817, 793722]",16
1383,"[209260, 269814, 269820, 793722, 801094]",16
209,"[269814, 269817, 269820, 734546, 793722]",16
1548,"[198290, 269814, 269817, 269820]",16
806,"[247498, 269817]",16
725,"[247498, 269814, 269817, 734546]",16
1555,"[198290, 269814, 269817, 793722]",16
673,"[793722, 801094, 1381296]",16
691,"[2035312, 2558192]",16
692,"[2272417, 2273093]",16
1567,"[198290, 269814, 269820, 269817]",16
54,"[269814, 269817, 269820, 734546, 793722]",16
1580,"[198290, 269814, 793722]",16
713,"[247498, 269814, 269817, 269820, 734546]",16
1486,"[4408913, 13387436]",16
620,"[269817, 269820, 793722, 801094]",16
1471,"[196918, 793722]",16
258,"[269814, 269817, 734546, 793722]",16
64,"[269814, 269817, 269820, 1381296]",16
732,"[247498, 269814, 269817, 269820, 734546]",16
608,"[269817, 269820, 734546, 793722]",16
747,"[247498, 269814, 269817, 793722, 269820]",16
481,"[269814, 269820, 734546, 793722]",16
66,"[269814, 269817, 269820, 1026189]",16
30,"[269814, 269817, 269820, 793722, 938725]",16
770,"[247498, 269814, 269820, 269817, 793722]",16
467,"[269814, 269820, 812062]",16
781,"[247498, 269814, 269820, 734546]",16
907,"[793722, 795212]",16
97,"[269814, 269817, 793722, 1026189]",16
230,"[269814, 269817, 269820, 793722, 801094]",16
1256,"[196917, 269814, 269817, 793722]",16
1099,"[196912, 269814, 793722]",16
922,"[196912, 269820, 269817]",16
923,"[196912, 269820, 269817, 269814]",16
1004,"[2273093, 13387436]",16
1262,"[196917, 269814, 269817, 793722]",16
1315,"[209260, 269814, 269817, 269820, 801094]",16
275,"[269814, 269817, 793722, 269820, 734546]",16
1097,"[196912, 269814, 209260, 269817, 269820]",16
937,"[793722, 909317]",16
965,"[269820, 1026189]",16
362,"[269814, 269820, 269817, 793722, 801094]",16
944,"[1124428, 1381296]",16
363,"[269814, 269820, 269817, 793722, 1381296]",16
366,"[269814, 269820, 269817, 793722, 938725]",16
1010,"[196912, 269814, 269817, 269820, 247498]",16
1356,"[209260, 269814, 269817, 1381296]",16
1279,"[196917, 269814, 793722]",16
179,"[269814, 269817, 269820, 793722, 938725]",16
1044,"[196912, 269814, 269820, 247498]",16
191,"[269814, 269817, 269820, 812062]",16
1046,"[196912, 269814, 269820, 247498, 269817]",16
1030,"[196912, 269814, 269817, 793722]",16
129,"[269814, 269817, 269820, 734546]",16
1470,"[3737668, 3944612]",15
1039,"[196912, 269814, 269820, 269817, 793722]",15
1316,"[209260, 269814, 269817, 269820, 734546]",15
1153,"[196916, 269814, 269820, 793722]",15
1330,"[209260, 269814, 269817, 269820, 1381296]",15
204,"[269814, 269817, 269820, 734546, 793722]",15
487,"[269814, 269820, 1026189]",15
569,"[269817, 269820, 793722, 2273093]",15
553,"[269814, 793722, 1322553]",15
1334,"[209260, 269814, 269817, 793722, 269820]",15
503,"[269814, 269820, 938725]",15
356,"[269814, 269820, 2273093]",15
139,"[269814, 269817, 269820, 628635]",15
71,"[269814, 269817, 269820, 938725]",15
476,"[269814, 269820, 734546, 793722]",15
764,"[247498, 269814, 269820, 269817, 734546]",15
5,"[269814, 269817, 269820, 793722, 801094]",15
1053,"[196912, 269814, 269820, 793722]",15
2,"[269814, 269817, 269820, 628635]",15
296,"[269814, 269817, 793722, 801094, 269820]",15
959,"[1198856, 2530949]",15
338,"[269814, 269820, 793722, 801094]",15
1162,"[196916, 269814, 269820, 247498]",15
