id,nom,latitude,longitude,typeR,nb,support
269814,Grande Place,50.63697,3.06367,A,0,85
269817,Vieille Bourse,50.63773,3.0642,A,0,85
269817,Vieille Bourse,50.63773,3.0642,A,563,72
269820,Palais des Beaux-Arts de Lille,50.630672,3.062632,A,563,72
269814,Grande Place,50.63697,3.06367,A,113,71
269817,Vieille Bourse,50.63773,3.0642,A,113,71
269820,Palais des Beaux-Arts de Lille,50.630672,3.062632,A,113,71
269814,Grande Place,50.63697,3.06367,A,334,70
269820,Palais des Beaux-Arts de Lille,50.630672,3.062632,A,334,70
269814,Grande Place,50.63697,3.06367,A,1,66
269817,Vieille Bourse,50.63773,3.0642,A,1,66
269820,Palais des Beaux-Arts de Lille,50.630672,3.062632,A,1,66
269814,Grande Place,50.63697,3.06367,A,357,58
269817,Vieille Bourse,50.63773,3.0642,A,357,58
269820,Palais des Beaux-Arts de Lille,50.630672,3.062632,A,357,58
269814,Grande Place,50.63697,3.06367,A,114,57
269817,Vieille Bourse,50.63773,3.0642,A,114,57
269820,Palais des Beaux-Arts de Lille,50.630672,3.062632,A,114,57
269814,Grande Place,50.63697,3.06367,A,511,47
793722,La Chicoree,50.63596,3.063038,R,511,47
269814,Grande Place,50.63697,3.06367,A,78,46
269817,Vieille Bourse,50.63773,3.0642,A,78,46
793722,La Chicoree,50.63596,3.063038,R,78,46
269820,Palais des Beaux-Arts de Lille,50.630672,3.062632,A,637,45
793722,La Chicoree,50.63596,3.063038,R,637,45
247498,"LaM Lille Métropole Musée d'Art Moderne, d'Art Contemporain et d'Art Brut.",50.637512,3.150333,A,693,41
269814,Grande Place,50.63697,3.06367,A,693,41
269817,Vieille Bourse,50.63773,3.0642,A,972,41
793722,La Chicoree,50.63596,3.063038,R,972,41
209260,Westfield Euralille,50.637753,3.072719,A,1282,40
269814,Grande Place,50.63697,3.06367,A,1282,40
269817,Vieille Bourse,50.63773,3.0642,A,566,40
269820,Palais des Beaux-Arts de Lille,50.630672,3.062632,A,566,40
793722,La Chicoree,50.63596,3.063038,R,566,40
269814,Grande Place,50.63697,3.06367,A,263,40
269817,Vieille Bourse,50.63773,3.0642,A,263,40
793722,La Chicoree,50.63596,3.063038,R,263,40
